_step,result/avg_len,result/avg_acc
5,17095.94861111111,0.2194444444444444
10,17589.087499999998,0.2319444444444444
15,17259.986111111113,0.225
20,16853.830555555556,0.2166666666666666
25,16450.99305555556,0.2375
30,17084.04722222222,0.2055555555555555
35,16864.404166666667,0.2319444444444444
40,16786.00138888889,0.2125
45,16086.801388888887,0.2236111111111111
50,16194.968055555555,0.2152777777777778
55,15627.109722222222,0.2361111111111111
60,15323.879166666666,0.2222222222222222
65,15333.909722222224,0.2263888888888889
70,14790.670833333332,0.2347222222222222
75,14197.331944444444,0.2152777777777777
80,13788.468055555555,0.2208333333333333
85,13361.573611111113,0.2152777777777777
90,13229.118055555557,0.2263888888888889
95,12634.363888888887,0.2083333333333333
100,12215.983333333332,0.236111111111111
105,12147.76388888889,0.2111111111111111
110,11363.833333333334,0.2277777777777777
115,11774.884722222225,0.2194444444444444
120,11072.490277777775,0.2180555555555555
125,10398.972222222224,0.2041666666666667
130,9961.380555555554,0.2375
135,9889.544444444444,0.2069444444444444
140,9693.305555555557,0.2208333333333333
145,9501.111111111111,0.2125
150,9557.795833333334,0.2041666666666666
155,9095.441666666666,0.2166666666666666
160,8826.652777777777,0.2111111111111111
165,8874.380555555555,0.2208333333333333
170,8762.647222222222,0.1986111111111111
175,8398.183333333332,0.2069444444444444
180,8637.290277777778,0.2291666666666666
185,8358.765277777778,0.2013888888888888
190,8152.495833333334,0.2111111111111111
195,7781.373611111111,0.2083333333333333
200,7729.162500000001,0.2333333333333333
205,7447.844444444444,0.2041666666666667
210,7361.816666666667,0.2027777777777778
215,7326.680555555555,0.2180555555555555
220,7023.662500000001,0.2263888888888889
225,7325.886111111111,0.2041666666666667
230,7255.411111111111,0.2291666666666666
235,6965.970833333333,0.1875
240,7350.930555555556,0.2041666666666667
245,6927.590277777777,0.2291666666666666
250,6856.2625,0.2319444444444444
255,7486.783333333333,0.1999999999999999
260,6964.155555555556,0.2194444444444444
265,6633.729166666667,0.2097222222222222
270,6708.941666666667,0.2194444444444444
275,6747.902777777778,0.2083333333333333
280,6910.194444444444,0.1986111111111111
285,6708.934722222223,0.1986111111111111
290,6633.708333333333,0.1999999999999999
295,6599.304166666666,0.1999999999999999
300,6447.272222222222,0.1777777777777777
305,6464.126388888889,0.2111111111111111
310,6371.070833333334,0.2152777777777778
315,6140.731944444445,0.2013888888888889
320,6319.645833333333,0.1986111111111111
325,6397.731944444444,0.2013888888888888
330,6436.622222222223,0.1999999999999999
335,6509.599999999999,0.1972222222222222
340,6447.272222222222,0.2027777777777778
345,6090.513888888888,0.2055555555555555
350,6416.419444444444,0.2208333333333333
355,6404.959722222222,0.225
360,6317.456944444445,0.2083333333333333
365,6180.179166666666,0.2166666666666666
370,6351.241666666666,0.1944444444444444
375,6320.169444444444,0.2236111111111111
380,6465.527777777777,0.2097222222222222
385,6059.351388888889,0.2083333333333333
390,6218.869444444444,0.1805555555555555
395,6139.856944444444,0.1902777777777777
400,6164.147222222222,0.2027777777777777
405,6233.184722222221,0.2166666666666666
410,6298.190277777779,0.1902777777777778
415,6428.445833333332,0.1999999999999999
420,6315.820833333334,0.1888888888888888
425,6181.0,0.2083333333333333
430,6164.408333333333,0.1902777777777777
435,6610.441666666667,0.1819444444444444
440,6248.023611111111,0.1972222222222222
445,6366.129166666667,0.1902777777777777
450,6571.209722222222,0.2041666666666667
455,5997.216666666667,0.1861111111111111
460,6246.337500000001,0.2027777777777777
465,6326.222222222223,0.1999999999999999
470,6343.233333333334,0.2055555555555555
475,6628.563888888889,0.2041666666666667
480,6482.4013888888885,0.2236111111111111
485,6291.516666666667,0.2097222222222222
490,6022.1375,0.1944444444444444
495,6115.784722222223,0.2055555555555555
