_step,result/avg_len,result/avg_acc
5,17348.965277777777,0.236111111111111
10,16908.695833333335,0.2236111111111111
15,17949.975000000002,0.2152777777777778
20,17824.92361111111,0.2166666666666666
25,16853.644444444446,0.2263888888888889
30,16963.13472222222,0.2388888888888889
35,17253.019444444446,0.2083333333333333
40,16860.244444444445,0.2277777777777777
45,16945.74305555556,0.236111111111111
50,17306.26527777778,0.2111111111111111
55,16960.169444444447,0.2222222222222222
60,16415.372222222224,0.2333333333333333
65,16564.600000000002,0.225
70,16412.372222222224,0.2166666666666666
75,15975.262500000004,0.2375
80,16331.902777777776,0.2430555555555555
85,16316.5,0.2208333333333333
90,15811.41388888889,0.2305555555555555
95,15091.04861111111,0.2527777777777777
105,15268.08611111111,0.2263888888888889
110,14746.009722222225,0.2222222222222221
115,14771.113888888887,0.2180555555555555
120,14672.030555555555,0.2388888888888888
125,13728.677777777775,0.2263888888888889
130,13563.177777777775,0.1972222222222222
135,13337.591666666667,0.2222222222222222
140,12468.047222222222,0.2347222222222222
145,12569.05,0.2166666666666666
150,12617.884722222225,0.2249999999999999
155,12119.870833333334,0.2125
160,11496.718055555555,0.225
165,11181.526388888888,0.2263888888888889
170,11243.505555555555,0.2236111111111111
175,10672.815277777778,0.2222222222222222
180,10120.525,0.2180555555555555
185,10232.045833333332,0.2041666666666667
190,9915.718055555555,0.2194444444444444
195,9891.633333333331,0.2194444444444444
200,9628.308333333334,0.2305555555555555
205,9504.481944444446,0.2055555555555555
210,9114.640277777778,0.2249999999999999
215,8983.584722222224,0.2208333333333333
220,8575.379166666666,0.2291666666666666
225,8835.183333333332,0.2319444444444444
230,8701.2875,0.2152777777777777
235,8205.245833333334,0.2194444444444444
240,8647.591666666667,0.2194444444444444
245,7843.731944444444,0.225
250,8124.608333333333,0.1986111111111111
255,8137.033333333334,0.2069444444444444
260,7798.1819444444445,0.2069444444444444
265,7671.059722222223,0.2111111111111111
270,7628.770833333333,0.2305555555555555
275,7377.902777777777,0.2152777777777777
280,7152.7375,0.2236111111111111
285,7229.926388888889,0.2
290,7306.530555555556,0.2083333333333333
295,7249.795833333334,0.2222222222222222
300,7172.551388888889,0.2097222222222222
305,6838.447222222222,0.2180555555555555
310,6740.104166666667,0.2180555555555555
315,6743.383333333334,0.1875
320,6820.150000000001,0.2027777777777778
325,6916.241666666666,0.2097222222222222
330,6883.977777777778,0.2222222222222222
335,6966.644444444445,0.1861111111111111
340,6850.508333333334,0.2027777777777778
345,6653.86111111111,0.2125
350,6888.319444444444,0.2194444444444444
355,7048.618055555555,0.2097222222222222
360,7059.561111111111,0.2041666666666667
365,7165.668055555557,0.2222222222222222
370,6975.873611111111,0.2055555555555555
375,6461.505555555556,0.2041666666666667
380,7204.827777777778,0.2333333333333333
385,7438.36111111111,0.2027777777777778
390,7567.352777777778,0.1986111111111111
395,7340.825,0.2097222222222222
400,6531.368055555556,0.1805555555555555
405,6852.5,0.2166666666666667
410,6533.659722222222,0.2125
415,7030.827777777778,0.2055555555555555
420,6485.281944444444,0.2166666666666666
425,7011.422222222222,0.1902777777777777
430,7312.8125,0.2069444444444444
435,7417.504166666667,0.2013888888888888
440,7071.490277777778,0.2152777777777778
445,7167.255555555556,0.2333333333333333
450,6780.745833333333,0.2097222222222222
455,6973.5569444444445,0.2125
460,6802.522222222222,0.1999999999999999
465,6946.804166666666,0.2027777777777777
470,7265.695833333334,0.2041666666666667
475,7187.041666666667,0.2027777777777778
480,7510.527777777778,0.2138888888888889
485,7518.006944444444,0.2152777777777778
490,7223.563888888889,0.1999999999999999
495,7065.330555555556,0.2055555555555555
