_step,constraint/satisfaction_rate,constraint/lambda,constraint/avg_penalty,constraint/avg_length
1,0.044921875,0.1055239009857177,0.1115765571594237,8621.1796875
2,0.041015625,0.1112371373176574,0.1216247653641766,8776.283203125
3,0.0546875,0.1167240810394287,0.1238654828676522,8590.904296875
4,0.048828125,0.1223194551467895,0.1321154039278007,8679.73046875
5,0.072265625,0.12743665933609,0.1272946439764814,8288.013671875
6,0.056640625,0.1328376078605651,0.1395583068693658,8520.45703125
7,0.060546875,0.13832115650177,0.1478502099997639,8588.123046875
8,0.060546875,0.1438227224349975,0.1545623262295704,8602.8828125
9,0.08984375,0.148487844467163,0.1372426754238745,7917.66796875
10,0.07421875,0.1540958094596862,0.1692860355003493,8690.044921875
11,0.0703125,0.1596786642074584,0.1743721578238446,8669.474609375
12,0.044921875,0.1653997492790221,0.1842293258331892,8782.712890625
13,0.0703125,0.1706059408187865,0.1749356905391583,8360.912109375
14,0.078125,0.1755956315994262,0.1732908575395503,8183.5546875
15,0.087890625,0.1810390734672546,0.1948624433561259,8555.267578125
16,0.09765625,0.1855120015144347,0.1667423395757043,7760.22265625
17,0.046875,0.1912823176383971,0.2167626256327706,8823.04296875
18,0.064453125,0.1965486788749694,0.2038735646346616,8410.203125
19,0.087890625,0.2013833832740783,0.1945093881112858,8056.58984375
20,0.068359375,0.2067494606971739,0.2197069826346442,8491.890625
21,0.080078125,0.2115016055107115,0.2005397367332486,7988.95703125
22,0.078125,0.2164530539512633,0.2132043877160276,8152.2265625
23,0.048828125,0.2213021731376647,0.2131676854322801,8068.3984375
24,0.0546875,0.2266123127937316,0.237924486786196,8446.06640625
25,0.09375,0.2319008564949034,0.2457670672547248,8428.375
26,0.08203125,0.2366670083999632,0.2270607054759795,8000.431640625
27,0.06640625,0.2423032474517821,0.2703165413044253,8713.20703125
28,0.095703125,0.2468403553962706,0.2268483785205399,7812.798828125
29,0.05078125,0.2529325222969054,0.3035440795772429,9086.703125
30,0.095703125,0.2570567584037779,0.2142032429242428,7474.57421875
31,0.064453125,0.2619667124748229,0.2560928347835124,8118.234375
32,0.08984375,0.2665612769126891,0.2447488647553062,7859.8671875
